[2024-11-11 16:58:03,992] - INFO - [34)] : read case ...
[2024-11-11 16:58:04,016] - INFO - [36)] : read image .... 
[2024-11-11 16:58:04,043] - INFO - [39)] : read pdf ......
[2024-11-11 16:58:04,079] - INFO - [42)] : merge data ........
[2024-11-11 16:58:04,079] - INFO - [45)] : data integrity check ........
[2024-11-11 16:58:04,079] - INFO - [26)] : ComparisonOperation Constructor
[2024-11-11 16:58:04,079] - INFO - [42)] : ============ Compare Begin ===============
[2024-11-11 16:58:04,079] - INFO - [120)] : @########@ Compare：A4.1.jpg--------------------------------
[2024-11-11 16:58:04,079] - INFO - [32)] : ------ [ bit_depth_check ] ------
[2024-11-11 16:58:04,079] - INFO - [33)] : actual_bit_depth：24 & expected_bit_depth：24
[2024-11-11 16:58:04,079] - INFO - [46)] : ------ [ dpi_check ] ------
[2024-11-11 16:58:04,079] - INFO - [47)] : actual_dpi：(300, 300) & expected_dpi：300
[2024-11-11 16:58:04,079] - INFO - [61)] : ------ [ width_height_pixel_check ] ------
[2024-11-11 16:58:04,080] - INFO - [85)] : width = = = > min_error_range：2362.89，max_error_range)：2599.11，actual_val:2448，expected_val:2481.0
[2024-11-11 16:58:04,080] - INFO - [85)] : height = = = > min_error_range：3388.89，max_error_range)：3625.11，actual_val:3447，expected_val:3507.0
[2024-11-11 16:58:04,080] - INFO - [94)] : ------ [ similarity_calculation ] ------
[2024-11-11 16:58:05,622] - INFO - [110)] : image high similarity
[2024-11-11 16:58:05,622] - INFO - [52)] : result：Pass
[2024-11-11 16:58:05,622] - INFO - [120)] : @########@ Compare：A4.2.jpg--------------------------------
[2024-11-11 16:58:05,625] - INFO - [32)] : ------ [ bit_depth_check ] ------
[2024-11-11 16:58:05,625] - INFO - [33)] : actual_bit_depth：24 & expected_bit_depth：24
[2024-11-11 16:58:05,625] - INFO - [46)] : ------ [ dpi_check ] ------
[2024-11-11 16:58:05,625] - INFO - [47)] : actual_dpi：(300, 300) & expected_dpi：300
[2024-11-11 16:58:05,625] - INFO - [61)] : ------ [ width_height_pixel_check ] ------
[2024-11-11 16:58:05,625] - INFO - [85)] : width = = = > min_error_range：2362.89，max_error_range)：2599.11，actual_val:2448，expected_val:2481.0
[2024-11-11 16:58:05,625] - INFO - [85)] : height = = = > min_error_range：3388.89，max_error_range)：3625.11，actual_val:3447，expected_val:3507.0
[2024-11-11 16:58:05,625] - INFO - [94)] : ------ [ similarity_calculation ] ------
[2024-11-11 16:58:06,617] - INFO - [110)] : image high similarity
[2024-11-11 16:58:06,617] - INFO - [52)] : result：Pass
[2024-11-11 16:58:06,617] - INFO - [60)] : @@@@@@@@@@@@@@@@@ [ duplex scanning ] @@@@@@@@@@@@@@@@@
[2024-11-11 16:58:06,617] - INFO - [120)] : @########@ Compare：A4.3.jpg--------------------------------
[2024-11-11 16:58:06,618] - INFO - [32)] : ------ [ bit_depth_check ] ------
[2024-11-11 16:58:06,618] - INFO - [33)] : actual_bit_depth：24 & expected_bit_depth：24
[2024-11-11 16:58:06,618] - INFO - [46)] : ------ [ dpi_check ] ------
[2024-11-11 16:58:06,618] - INFO - [47)] : actual_dpi：(600, 600) & expected_dpi：600
[2024-11-11 16:58:06,618] - INFO - [61)] : ------ [ width_height_pixel_check ] ------
[2024-11-11 16:58:06,618] - INFO - [85)] : width = = = > min_error_range：4725.78，max_error_range)：5198.22，actual_val:4912，expected_val:4962.0
[2024-11-11 16:58:06,619] - INFO - [85)] : height = = = > min_error_range：6777.78，max_error_range)：7250.22，actual_val:6894，expected_val:7014.0
[2024-11-11 16:58:06,619] - INFO - [94)] : ------ [ similarity_calculation ] ------
[2024-11-11 16:58:09,231] - INFO - [110)] : image high similarity
[2024-11-11 16:58:09,231] - INFO - [120)] : @########@ Compare：A4.4.jpg--------------------------------
[2024-11-11 16:58:09,231] - INFO - [32)] : ------ [ bit_depth_check ] ------
[2024-11-11 16:58:09,231] - INFO - [33)] : actual_bit_depth：24 & expected_bit_depth：24
[2024-11-11 16:58:09,232] - INFO - [46)] : ------ [ dpi_check ] ------
[2024-11-11 16:58:09,232] - INFO - [47)] : actual_dpi：(600, 600) & expected_dpi：600
[2024-11-11 16:58:09,232] - INFO - [61)] : ------ [ width_height_pixel_check ] ------
[2024-11-11 16:58:09,232] - INFO - [85)] : width = = = > min_error_range：4725.78，max_error_range)：5198.22，actual_val:4912，expected_val:4962.0
[2024-11-11 16:58:09,232] - INFO - [85)] : height = = = > min_error_range：6777.78，max_error_range)：7250.22，actual_val:6894，expected_val:7014.0
[2024-11-11 16:58:09,232] - INFO - [94)] : ------ [ similarity_calculation ] ------
[2024-11-11 16:58:11,793] - INFO - [110)] : image high similarity
[2024-11-11 16:58:11,794] - INFO - [52)] : result：Pass
[2024-11-11 16:58:11,832] - INFO - [55)] : ============ Compare End ===============
